FirstName1, LastName1, associate 78919.96
FirstName698, LastName698, assistant 64165.36
FirstName699, LastName699, associate 60785.23
FirstName700, LastName700, associate 92194.18
FirstName701, LastName701, associate 83930.42
FirstName702, LastName702, associate 86049.93
FirstName703, LastName703, assistant 52028.62
FirstName704, LastName704, full profesor 104004.25
FirstName705, LastName705, assistant 59422.82
FirstName706, LastName706, assistant 50435.12
FirstName707, LastName707, assistant 78071.27
FirstName708, LastName708, assistant 79380.70
FirstName709, LastName709, full profesor 113228.46
FirstName710, LastName710, full profesor 91166.01
FirstName711, LastName711, associate 79567.23
FirstName712, LastName712, associate 92952.12
FirstName713, LastName713, full profesor 93833.88
FirstName714, LastName714, assistant 65360.87
FirstName715, LastName715, full profesor 119794.38
FirstName716, LastName716, associate 87385.15
FirstName717, LastName717, associate 102983.19
FirstName718, LastName718, associate 77154.63
FirstName719, LastName719, full profesor 126457.72
FirstName720, LastName720, full profesor 119904.73
FirstName721, LastName721, full profesor 102210.91
FirstName722, LastName722, assistant 76893.48
FirstName723, LastName723, associate 82940.64
FirstName724, LastName724, assistant 74876.58
FirstName725, LastName725, associate 66024.90
FirstName726, LastName726, associate 60444.11
FirstName727, LastName727, full profesor 105392.93
FirstName728, LastName728, assistant 52444.72
FirstName729, LastName729, full profesor 77532.39
FirstName730, LastName730, associate 77128.29
FirstName731, LastName731, assistant 63431.48
FirstName732, LastName732, full profesor 81922.04
FirstName733, LastName733, assistant 65689.82
FirstName734, LastName734, assistant 78895.40
FirstName735, LastName735, full profesor 109653.27
FirstName736, LastName736, full profesor 118156.26
FirstName737, LastName737, full profesor 78271.72
FirstName738, LastName738, full profesor 92870.50
FirstName739, LastName739, associate 78342.38
FirstName740, LastName740, full profesor 86059.37
FirstName741, LastName741, associate 105283.11
FirstName742, LastName742, assistant 75139.89
FirstName743, LastName743, assistant 66631.17
FirstName744, LastName744, assistant 65876.80
FirstName745, LastName745, associate 76160.78
FirstName746, LastName746, assistant 63311.19
FirstName747, LastName747, full profesor 81906.22
FirstName748, LastName748, assistant 59411.86
FirstName749, LastName749, assistant 65095.46
FirstName750, LastName750, associate 103701.99
FirstName751, LastName751, assistant 65178.80
FirstName752, LastName752, associate 103010.09
FirstName753, LastName753, assistant 57330.17
FirstName754, LastName754, assistant 65614.02
FirstName755, LastName755, full profesor 122063.24
FirstName756, LastName756, full profesor 83069.47
FirstName757, LastName757, full profesor 116596.47
FirstName758, LastName758, assistant 52653.90
FirstName759, LastName759, associate 64332.07
FirstName760, LastName760, full profesor 79271.50
FirstName761, LastName761, associate 69995.84
FirstName762, LastName762, assistant 63897.20
FirstName763, LastName763, assistant 76770.23
FirstName764, LastName764, assistant 53907.00
FirstName765, LastName765, full profesor 120586.35
FirstName766, LastName766, associate 83116.09
FirstName767, LastName767, assistant 58371.39
FirstName768, LastName768, assistant 70842.76
FirstName769, LastName769, full profesor 121474.85
FirstName770, LastName770, assistant 62036.74
FirstName771, LastName771, full profesor 93524.86
FirstName772, LastName772, associate 92967.32
FirstName773, LastName773, full profesor 93244.96
FirstName774, LastName774, full profesor 110609.25
FirstName775, LastName775, full profesor 88085.28
FirstName776, LastName776, assistant 51198.45
FirstName777, LastName777, full profesor 123267.37
FirstName778, LastName778, assistant 67669.67
FirstName779, LastName779, assistant 71050.88
FirstName780, LastName780, associate 95311.86
FirstName781, LastName781, assistant 72622.57
FirstName782, LastName782, assistant 70789.20
FirstName783, LastName783, associate 80683.29
FirstName784, LastName784, full profesor 102735.28
FirstName785, LastName785, full profesor 116844.99
FirstName786, LastName786, assistant 67405.32
FirstName787, LastName787, full profesor 82563.07
FirstName788, LastName788, associate 76348.41
FirstName789, LastName789, assistant 53036.23
FirstName790, LastName790, full profesor 91022.27
FirstName791, LastName791, associate 85389.50
FirstName792, LastName792, associate 106631.50
FirstName793, LastName793, full profesor 124610.22
FirstName794, LastName794, full profesor 84394.43
FirstName795, LastName795, assistant 72261.37
FirstName796, LastName796, full profesor 105952.07
FirstName797, LastName797, full profesor 88194.20
FirstName798, LastName798, full profesor 77407.05
FirstName799, LastName799, full profesor 116821.76
FirstName800, LastName800, full profesor 111293.24
FirstName801, LastName801, associate 99439.06
FirstName802, LastName802, associate 90605.81
FirstName803, LastName803, associate 82552.39
FirstName804, LastName804, assistant 57072.98
FirstName805, LastName805, full profesor 99772.13
FirstName806, LastName806, assistant 57364.20
FirstName807, LastName807, associate 63485.70
FirstName808, LastName808, full profesor 113031.72
FirstName809, LastName809, assistant 67469.02
FirstName810, LastName810, full profesor 107601.71
FirstName811, LastName811, assistant 50346.86
FirstName812, LastName812, full profesor 82668.00
FirstName813, LastName813, assistant 70572.15
FirstName814, LastName814, assistant 70702.18
FirstName815, LastName815, full profesor 99405.72
FirstName816, LastName816, full profesor 104069.96
FirstName817, LastName817, full profesor 111706.62
FirstName818, LastName818, assistant 64724.08
FirstName819, LastName819, assistant 66105.96
FirstName820, LastName820, associate 66166.53
FirstName821, LastName821, associate 61889.69
FirstName822, LastName822, assistant 79814.03
FirstName823, LastName823, associate 74185.95
FirstName824, LastName824, full profesor 82559.38
FirstName825, LastName825, associate 92992.99
FirstName826, LastName826, associate 79751.52
FirstName827, LastName827, assistant 54305.98
FirstName828, LastName828, full profesor 106496.59
FirstName829, LastName829, full profesor 125092.41
FirstName830, LastName830, full profesor 126653.78
FirstName831, LastName831, associate 109994.54
FirstName832, LastName832, full profesor 106022.69
FirstName833, LastName833, assistant 61120.14
FirstName834, LastName834, assistant 61878.44
FirstName835, LastName835, assistant 55122.83
FirstName836, LastName836, associate 99103.01
FirstName837, LastName837, assistant 62036.27
FirstName838, LastName838, full profesor 93599.09
FirstName839, LastName839, full profesor 100246.85
FirstName840, LastName840, assistant 70770.64
FirstName841, LastName841, full profesor 87501.35
FirstName842, LastName842, full profesor 110537.96
FirstName843, LastName843, associate 84069.42
FirstName844, LastName844, assistant 71723.70
FirstName845, LastName845, full profesor 96202.33
FirstName846, LastName846, assistant 77450.49
FirstName847, LastName847, associate 98215.55
FirstName848, LastName848, full profesor 110624.52
FirstName849, LastName849, associate 92602.92
FirstName850, LastName850, full profesor 112969.60
FirstName851, LastName851, full profesor 93983.91
FirstName852, LastName852, associate 95619.11
FirstName853, LastName853, full profesor 119778.11
FirstName854, LastName854, full profesor 113953.11
FirstName855, LastName855, full profesor 122676.23
FirstName856, LastName856, full profesor 93958.54
FirstName857, LastName857, associate 104870.40
FirstName858, LastName858, associate 88247.08
FirstName859, LastName859, full profesor 97219.92
FirstName860, LastName860, full profesor 100238.50
FirstName861, LastName861, associate 95656.37
FirstName862, LastName862, full profesor 102099.03
FirstName863, LastName863, assistant 65286.56
FirstName864, LastName864, assistant 70378.49
FirstName865, LastName865, assistant 75151.92
FirstName866, LastName866, assistant 55008.37
FirstName867, LastName867, full profesor 87056.75
FirstName868, LastName868, full profesor 76439.25
FirstName869, LastName869, full profesor 96577.91
FirstName870, LastName870, assistant 71623.72
FirstName871, LastName871, assistant 50087.50
FirstName872, LastName872, full profesor 122610.42
FirstName873, LastName873, assistant 56660.62
FirstName874, LastName874, associate 79634.66
FirstName875, LastName875, associate 105043.80
FirstName876, LastName876, assistant 55217.80
FirstName877, LastName877, full profesor 94853.76
FirstName878, LastName878, assistant 64495.23
FirstName879, LastName879, associate 76642.54
FirstName880, LastName880, associate 80882.04
FirstName881, LastName881, full profesor 123059.30
FirstName882, LastName882, assistant 66376.21
FirstName883, LastName883, assistant 59571.51
FirstName884, LastName884, assistant 68001.84
FirstName885, LastName885, assistant 63503.26
FirstName886, LastName886, associate 109469.34
FirstName887, LastName887, associate 65021.55
FirstName888, LastName888, assistant 58238.39
FirstName889, LastName889, assistant 60833.03
FirstName890, LastName890, associate 85758.43
FirstName891, LastName891, full profesor 96850.86
FirstName892, LastName892, full profesor 106698.39
FirstName893, LastName893, full profesor 110311.19
FirstName894, LastName894, assistant 52026.53
FirstName895, LastName895, full profesor 118665.22
FirstName896, LastName896, associate 88589.87
FirstName897, LastName897, assistant 68412.74
FirstName898, LastName898, full profesor 87182.50
FirstName899, LastName899, assistant 79638.80
FirstName900, LastName900, full profesor 101325.40
FirstName901, LastName901, full profesor 80878.08
FirstName902, LastName902, full profesor 85118.27
FirstName903, LastName903, associate 104626.39
FirstName904, LastName904, assistant 66659.04
FirstName905, LastName905, associate 60077.07
FirstName906, LastName906, assistant 75040.89
FirstName907, LastName907, assistant 74887.90
FirstName908, LastName908, full profesor 114139.98
FirstName909, LastName909, full profesor 127043.19
FirstName910, LastName910, associate 84098.10
FirstName911, LastName911, associate 75124.89
FirstName912, LastName912, full profesor 82784.64
FirstName913, LastName913, associate 78443.59
FirstName914, LastName914, assistant 57788.63
FirstName915, LastName915, full profesor 79757.87
FirstName916, LastName916, associate 86398.76
FirstName917, LastName917, assistant 54307.72
FirstName918, LastName918, full profesor 93723.70
FirstName919, LastName919, associate 91251.67
FirstName920, LastName920, associate 91067.55
FirstName921, LastName921, associate 86312.29
FirstName922, LastName922, full profesor 96569.52
FirstName923, LastName923, associate 108512.47
FirstName924, LastName924, associate 72107.19
FirstName925, LastName925, assistant 56662.97
FirstName926, LastName926, associate 107596.37
FirstName927, LastName927, full profesor 116593.30
FirstName928, LastName928, full profesor 75460.40
FirstName929, LastName929, associate 94950.02
FirstName930, LastName930, associate 92219.18
FirstName931, LastName931, assistant 78289.63
FirstName932, LastName932, assistant 60162.40
FirstName933, LastName933, full profesor 81002.26
FirstName934, LastName934, assistant 62603.56
FirstName935, LastName935, assistant 59577.34
FirstName936, LastName936, full profesor 104275.78
FirstName937, LastName937, associate 81646.62
FirstName938, LastName938, assistant 57179.24
FirstName939, LastName939, assistant 50095.06
FirstName940, LastName940, assistant 79259.71
FirstName941, LastName941, full profesor 113942.70
FirstName942, LastName942, full profesor 123235.18
FirstName943, LastName943, full profesor 98552.52
FirstName944, LastName944, assistant 73288.83
FirstName945, LastName945, full profesor 100137.05
FirstName946, LastName946, associate 98771.87
FirstName947, LastName947, assistant 66596.74
FirstName948, LastName948, assistant 61390.24
FirstName949, LastName949, associate 93841.11
FirstName950, LastName950, associate 65971.57
FirstName951, LastName951, full profesor 90649.20
FirstName952, LastName952, full profesor 127760.06
FirstName953, LastName953, full profesor 75175.54
FirstName954, LastName954, associate 88025.12
FirstName955, LastName955, associate 77444.38
FirstName956, LastName956, full profesor 110306.25
FirstName957, LastName957, full profesor 125263.03
FirstName958, LastName958, associate 73268.26
FirstName959, LastName959, associate 65239.22
FirstName960, LastName960, associate 103126.92
FirstName961, LastName961, assistant 52489.28
FirstName962, LastName962, assistant 56449.41
FirstName963, LastName963, associate 61556.03
FirstName964, LastName964, full profesor 97043.82
FirstName965, LastName965, assistant 57523.65
FirstName966, LastName966, associate 106473.81
FirstName967, LastName967, full profesor 123459.90
FirstName968, LastName968, full profesor 124550.79
FirstName969, LastName969, full profesor 87177.33
FirstName970, LastName970, associate 62250.06
FirstName971, LastName971, full profesor 115681.43
FirstName972, LastName972, full profesor 125854.24
FirstName973, LastName973, assistant 75566.26
FirstName974, LastName974, assistant 62551.46
FirstName975, LastName975, assistant 64194.32
FirstName976, LastName976, assistant 75157.44
FirstName977, LastName977, assistant 54434.16
FirstName978, LastName978, full profesor 112667.84
FirstName979, LastName979, full profesor 91978.63
FirstName980, LastName980, associate 64340.75
FirstName981, LastName981, associate 101125.90
FirstName982, LastName982, assistant 63364.15
FirstName983, LastName983, assistant 65976.99
FirstName984, LastName984, full profesor 110704.06
FirstName985, LastName985, associate 107183.01
FirstName986, LastName986, associate 85450.51
FirstName987, LastName987, assistant 66342.69
FirstName988, LastName988, full profesor 115480.12
FirstName989, LastName989, associate 85995.80
FirstName990, LastName990, full profesor 122581.05
FirstName991, LastName991, full profesor 116749.25
FirstName992, LastName992, assistant 50622.33
FirstName993, LastName993, assistant 54423.29
FirstName994, LastName994, full profesor 92248.52
FirstName995, LastName995, assistant 52588.04
FirstName996, LastName996, assistant 78812.95
FirstName997, LastName997, associate 63858.82
FirstName998, LastName998, assistant 77794.99
FirstName999, LastName999, assistant 79665.47
FirstName1000, LastName1000, associate 60251.55
